id;name;url;team;position;value;growth;goals;assists;red;yellow;shots;saves;games_played;popularity;trend;index
david_hoilett;David 'Junior' Hoilett;/da/premier-league-fantasy-fall-2018/players/david_hoilett;Cardiff;Midtbane;3941000;-59.000;-;-;-;1;-;-;75%;0.001;0,1%;-
ryan_bennett;Ryan Bennett;/da/premier-league-fantasy-fall-2018/players/ryan_bennett;Wolverhampton;Forsvar;2588000;88.000;-;-;-;1;-;-;100%;0.002;0,2%;14
conor_coady;Conor Coady;/da/premier-league-fantasy-fall-2018/players/conor_coady;Wolverhampton;Forsvar;2588000;88.000;-;-;-;1;-;-;100%;0.004;0,4%;17
matt_doherty;Matt Doherty;/da/premier-league-fantasy-fall-2018/players/matt_doherty;Wolverhampton;Forsvar;3053000;53.000;-;-;-;-;2;-;100%;0.003;0,3%;10
ethan_ebanks_landell;Ethan Ebanks-Landell;/da/premier-league-fantasy-fall-2018/players/ethan_ebanks_landell;Wolverhampton;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
kortney_hause;Kortney Hause;/da/premier-league-fantasy-fall-2018/players/kortney_hause;Wolverhampton;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-1
lee_tomlin;Lee Tomlin;/da/premier-league-fantasy-fall-2018/players/lee_tomlin;Cardiff;Angreb;2480000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
dominic_iorfa;Dominic Iorfa;/da/premier-league-fantasy-fall-2018/players/dominic_iorfa;Wolverhampton;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;1
daniel_carl_ward;Danny Ward;/da/premier-league-fantasy-fall-2018/players/daniel_carl_ward;Cardiff;Angreb;2579000;79.000;1;-;-;-;1;-;75%;0.002;0,2%;11
kenneth_zohore;Kenneth Zohore;/da/premier-league-fantasy-fall-2018/players/kenneth_zohore;Cardiff;Angreb;3501000;1.000;-;-;-;-;-;-;75%;0.023;2,3%;-13
nathaniel_mendez-laing;Nathaniel Mendez-Laing;/da/premier-league-fantasy-fall-2018/players/nathaniel_mendez-laing;Cardiff;Angreb;3513000;13.000;-;-;-;-;1;-;75%;0;0,0%;-
gary_madine;Gary Madine;/da/premier-league-fantasy-fall-2018/players/gary_madine;Cardiff;Angreb;2956000;-44.000;-;-;-;-;-;-;50%;0;0,0%;-
diego_rico;Diego Rico;/da/premier-league-fantasy-fall-2018/players/diego_rico;Bournemouth;Forsvar;2961000;-39.000;-;-;-;-;-;-;25%;0.001;0,1%;4
ruben_neves;Ruben Neves;/da/premier-league-fantasy-fall-2018/players/ruben_neves;Wolverhampton;Midtbane;3243000;243.000;1;1;-;-;1;-;100%;0.153;15,3%;158
romain_saiss;Romain Saiss;/da/premier-league-fantasy-fall-2018/players/romain_saiss;Wolverhampton;Midtbane;2980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;1
joao_moutinho;Joao Moutinho;/da/premier-league-fantasy-fall-2018/players/joao_moutinho;Wolverhampton;Midtbane;3608000;108.000;-;1;-;-;-;-;100%;0.029;2,9%;16
morgan_gibbs-white;Morgan Gibbs-White;/da/premier-league-fantasy-fall-2018/players/morgan_gibbs-white;Wolverhampton;Midtbane;1974000;-26.000;-;-;-;1;-;-;50%;0.003;0,3%;-3
ivan_cavaleiro;Ivan Cavaleiro;/da/premier-league-fantasy-fall-2018/players/ivan_cavaleiro;Wolverhampton;Angreb;3980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-2
helder_costa;Helder Costa;/da/premier-league-fantasy-fall-2018/players/helder_costa;Wolverhampton;Angreb;3058000;58.000;-;-;-;-;2;-;100%;0.004;0,4%;13
wilfredo_caballero;Wilfredo Caballero;/da/premier-league-fantasy-fall-2018/players/wilfredo_caballero;Chelsea;Mål;5480000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
antonio_rudiger;Antonio Rüdiger;/da/premier-league-fantasy-fall-2018/players/antonio_rudiger;Chelsea;Forsvar;4844000;344.000;-;-;-;-;2;-;100%;0.01;1,0%;12
marcos_alonso_mendoza;Marcos Alonso Mendoza;/da/premier-league-fantasy-fall-2018/players/marcos_alonso_mendoza;Chelsea;Forsvar;6094000;594.000;1;2;-;1;1;-;100%;0.035;3,5%;88
victor_moses;Victor Moses;/da/premier-league-fantasy-fall-2018/players/victor_moses;Chelsea;Forsvar;5527000;27.000;-;-;-;-;-;-;25%;0.003;0,3%;-1
davide_zappacosta;Davide Zappacosta;/da/premier-league-fantasy-fall-2018/players/davide_zappacosta;Chelsea;Forsvar;3980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
gary_cahill;Gary Cahill;/da/premier-league-fantasy-fall-2018/players/gary_cahill;Chelsea;Forsvar;3980000;-20.000;-;-;-;-;-;-;0%;0.002;0,2%;-4
andreas_christensen;Andreas Christensen;/da/premier-league-fantasy-fall-2018/players/andreas_christensen;Chelsea;Forsvar;3980000;-20.000;-;-;-;-;-;-;0%;0.045;4,5%;-45
cesar_azpilicueta;Cesar Azpilicueta;/da/premier-league-fantasy-fall-2018/players/cesar_azpilicueta;Chelsea;Forsvar;5384000;384.000;-;1;-;-;1;-;100%;0.013;1,3%;4
david_luiz;David Luiz;/da/premier-league-fantasy-fall-2018/players/david_luiz;Chelsea;Forsvar;4314000;314.000;-;-;-;1;1;-;100%;0.04;4,0%;58
emerson_palmieri_dos_santos;Emerson Palmieri;/da/premier-league-fantasy-fall-2018/players/emerson_palmieri_dos_santos;Chelsea;Forsvar;2980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-1
cesc_fabregas;Cesc Fabregas;/da/premier-league-fantasy-fall-2018/players/cesc_fabregas;Chelsea;Midtbane;4480000;-20.000;-;-;-;-;-;-;0%;0.004;0,4%;-2
danny_drinkwater;Danny Drinkwater;/da/premier-league-fantasy-fall-2018/players/danny_drinkwater;Chelsea;Midtbane;2980000;-20.000;-;-;-;-;-;-;0%;0.004;0,4%;-4
ngolo_kante;N'Golo Kante;/da/premier-league-fantasy-fall-2018/players/ngolo_kante;Chelsea;Midtbane;4859000;359.000;1;-;-;1;-;-;100%;0.096;9,6%;14
ross_barkley;Ross Barkley;/da/premier-league-fantasy-fall-2018/players/ross_barkley;Chelsea;Midtbane;3647000;147.000;-;-;-;-;1;-;75%;0.027;2,7%;-54
eden_hazard;Eden Hazard;/da/premier-league-fantasy-fall-2018/players/eden_hazard;Chelsea;Midtbane;8560000;560.000;2;2;-;-;1;-;100%;0.08;8,0%;146
